team,group,win_group,reach_R16,reach_QF,reach_SF,reach_final,champion,advance_group,champion_se,reach_final_se,reach_SF_se,advance_group_se
Argentina,J,0.70965,0.71385,0.5111,0.41115,0.27495,0.18005,0.9816,0.0027169099865472167,0.0031571545535497626,0.0034792648469180957,0.0009503010049452745
Spain,H,0.76985,0.70065,0.48885,0.3832,0.2408,0.15825,0.9921,0.002580764784903886,0.003023370304808857,0.0034377155205164954,0.0006260027955209153
England,L,0.7023,0.76115,0.5341,0.35835,0.23255,0.13665,0.98485,0.00242875253473877,0.0029872269540495242,0.003390687817390448,0.0008637267363003184
France,I,0.5459,0.70995,0.48215,0.2836,0.1758,0.0872,0.94815,0.0019949456132937558,0.00269160138207722,0.003187248343006864,0.0015678261622386576
Portugal,K,0.52635,0.6692,0.3416,0.23325,0.12005,0.0639,0.93645,0.001729404377235122,0.002298238428666617,0.0029903548075437473,0.0017249840216651282
Brazil,C,0.53625,0.64235,0.4558,0.27525,0.14045,0.06325,0.97535,0.0017211832775738906,0.002456865864266912,0.0031582228982451506,0.0010964118181595807
Germany,E,0.59095,0.6605,0.3538,0.1991,0.1002,0.0426,0.98525,0.00142802731066321,0.0021232046533483295,0.0028236429483913155,0.00085242118403991
Belgium,G,0.6705,0.72845,0.51415,0.20985,0.09345,0.0416,0.97,0.0014119036794342594,0.0020581192567487435,0.00287934868937404,0.0012062338081814824
Morocco,C,0.35275,0.5603,0.35465,0.18985,0.09055,0.0384,0.939,0.0013587759197159772,0.002029170982199381,0.0027731478278303157,0.0016923208915569181
Netherlands,F,0.4842,0.4865,0.30885,0.16785,0.08045,0.0332,0.90955,0.0012668417422866994,0.0019232498212660779,0.0026426915966491432,0.00202816169843531
Colombia,K,0.3798,0.56445,0.25115,0.15515,0.0719,0.03305,0.8928,0.001264074711004061,0.0018266142176168454,0.002560063256054428,0.0021875575421003214
Norway,I,0.2847,0.5311,0.25265,0.1131,0.0501,0.01735,0.86495,0.0009232815794761639,0.0015425626405433266,0.0022395132283601275,0.002416728134275761
Japan,F,0.3609,0.41585,0.2394,0.1104,0.04625,0.0171,0.8687,0.000916722149836034,0.0014851083714665404,0.0022159855595197367,0.0023880987207399946
Switzerland,B,0.6287,0.63665,0.37205,0.1285,0.0456,0.01705,0.95905,0.0009154042139951071,0.0014751379596498763,0.002366302495455727,0.0014013047045521548
Ecuador,E,0.2797,0.5145,0.23545,0.1022,0.04395,0.01595,0.92215,0.0008858780248995907,0.0014494550268980408,0.0021419052266615345,0.0018945893684384483
Croatia,L,0.2563,0.4755,0.18875,0.0897,0.0327,0.01115,0.9115,0.000742484932507051,0.0012575911497780192,0.0020205681131800534,0.0020083295297336043
Uruguay,H,0.2047,0.3431,0.1436,0.07645,0.02665,0.00965,0.8981,0.0006912625224905514,0.0011388541939159728,0.0018789012414174408,0.002139116523240377
Mexico,A,0.68305,0.5332,0.1889,0.06375,0.0203,0.00575,0.99155,0.0005346464953593168,0.000997193812656296,0.001727511758281257,0.0006472479239055139
Turkey,D,0.2823,0.4458,0.207,0.05865,0.01865,0.00485,0.78115,0.0004912472646234277,0.0009566132316668006,0.0016614779189023246,0.0029236507785643617
Austria,J,0.1504,0.2769,0.1171,0.0462,0.01445,0.0047,0.7759,0.00048362743925463953,0.000843836402983422,0.001484344299682523,0.0029485521023037728
Senegal,I,0.1563,0.36275,0.13465,0.0438,0.01515,0.004,0.7414,0.0004463182720884279,0.0008637267363003186,0.0014470929479477122,0.0030961753826293497
Algeria,J,0.1274,0.262,0.11095,0.04325,0.0128,0.00385,0.73245,0.00043790281456049127,0.0007948635102959502,0.0014383921144806098,0.0031302316008563966
Scotland,C,0.10695,0.23505,0.0754,0.0226,0.0053,0.00155,0.7286,0.00027817238360412414,0.0005134155237232315,0.0010509338704219214,0.003144376249751292
South Korea,A,0.2726,0.4466,0.11955,0.02975,0.00675,0.00135,0.9524,0.0002596321917636563,0.000578983484220405,0.0012013521028407948,0.0015055603607959393
Canada,B,0.2674,0.42825,0.1415,0.03095,0.00675,0.0013,0.88,0.00025478520365201744,0.000578983484220405,0.0012245835516615435,0.0022978250586152115
Iran,G,0.1759,0.33,0.12805,0.02675,0.0051,0.00115,0.7703,0.0002396536563459861,0.0005036859140377067,0.0011409302673695706,0.0029743731272320224
Ivory Coast,E,0.12805,0.31115,0.0987,0.0276,0.0061,0.00115,0.80235,0.0002396536563459861,0.0005505810567028256,0.0011584092541066823,0.0028158877596594647
Egypt,G,0.1352,0.2707,0.09835,0.0184,0.0041,0.00105,0.7061,0.00022900846054240006,0.0004518401265934667,0.0009503010049452753,0.003221201561529486
Australia,D,0.14985,0.27525,0.09785,0.02085,0.00425,0.00085,0.6311,0.00020606764666002277,0.00045999660324832836,0.0010103285975364648,0.003411838140943969
United States,D,0.5443,0.4742,0.1629,0.028,0.00475,0.0006,0.97,0.00017315311143609288,0.0004861809076876631,0.0011665333257134148,0.0012062338081814824
Paraguay,D,0.02355,0.1181,0.03875,0.00915,0.00195,0.00045,0.3329,0.00014996624620227048,0.00031194530770633496,0.0006732858791033717,0.003332248415109534
Sweden,F,0.10765,0.16175,0.0616,0.0144,0.00275,0.00035,0.5556,0.0001322644132032498,0.0003702997096947282,0.0008423965811896438,0.0035136066939826945
Czech Republic,A,0.0379,0.1928,0.0634,0.0117,0.00175,0.00025,0.5477,0.00011178942257655686,0.00029554504732781433,0.0007603653726992043,0.003519408401990312
DR Congo,K,0.0563,0.11845,0.02445,0.0061,0.00145,0.0002,0.44165,9.998999949994999e-05,0.0002690629573166845,0.0005505810567028256,0.0035113763505212597
Bosnia and Herzegovina,B,0.0863,0.1833,0.034,0.0027,0.0004,0.0001,0.6713,7.070714249635605e-05,0.00014139306913706908,0.00036692710447716994,0.0033215682290147226
Tunisia,F,0.04725,0.0716,0.0187,0.00265,0.0006,0.0001,0.35045,7.070714249635605e-05,0.00017315311143609288,0.0003635228672312101,0.0033736834283909925
New Zealand,G,0.0184,0.02935,0.0044,0.00025,0.0,0.0,0.21325,0.0,0.0,0.00011178942257655686,0.0028963290343122275
Ghana,L,0.0244,0.05885,0.0062,0.00115,5e-05,0.0,0.38055,0.0,4.999874998437461e-05,0.0002396536563459861,0.0034331596052324747
Uzbekistan,K,0.03755,0.0753,0.01245,0.00165,0.0001,0.0,0.336,0.0,7.070714249635605e-05,0.00028699107128968315,0.0033399401192236965
South Africa,A,0.00645,0.0391,0.00565,0.0005,0.0,0.0,0.2041,0.0,0.0,0.0001580743495953724,0.002849940262531831
Jordan,J,0.01255,0.0242,0.0043,0.00035,0.0,0.0,0.1807,0.0,0.0,0.0001322644132032498,0.0027207306922957296
Qatar,B,0.0176,0.0267,0.0017,0.00015,0.0,0.0,0.1911,0.0,0.0,8.659604494432757e-05,0.0027801150156063687
Haiti,C,0.00405,0.00545,0.00035,0.0,0.0,0.0,0.0863,0.0,0.0,0.0,0.0019856020497572013
Iraq,I,0.0131,0.0275,0.0039,0.0006,5e-05,0.0,0.15695,0.0,4.999874998437461e-05,0.00017315311143609288,0.002572126527797573
Curaçao,E,0.0013,0.0025,0.0001,0.0,0.0,0.0,0.05135,0.0,0.0,0.0,0.0015606597563210245
Saudi Arabia,H,0.01695,0.0446,0.00565,0.00055,0.0,0.0,0.36175,0.0,0.0,0.0001657856296546839,0.003397697290077502
Cape Verde,H,0.0085,0.0236,0.00305,0.00015,0.0,0.0,0.2523,0.0,0.0,8.659604494432757e-05,0.0030711944744675483
Panama,L,0.017,0.03095,0.00235,0.00045,5e-05,0.0,0.2832,0.0,4.999874998437461e-05,0.00014996624620227048,0.0031858888869513323
